Ticker,Entry Date,Exit Date,Holding Days,Entry,Exit,PnL (£),PnL %,Market,Exit Reason,Was Profitable,Entry Year
AMD,2019-12-31,2020-01-20,20,45.92879061126709,50.85360530471802,474.94043223221485,10.89,US,Risk-Off,True,2019
PODD,2019-12-31,2020-01-20,20,171.45679694366456,188.4768545150757,445.5354420704305,10.09,US,Risk-Off,True,2019
TER,2019-12-31,2020-01-20,20,66.58170998001098,68.42657149124146,124.5926244314977,2.93,US,Risk-Off,True,2019
JD.L,2019-12-31,2020-01-21,21,168.26496505737302,170.8667449951172,69.52810121199211,1.55,UK,Stop,True,2019
CVNA,2020-01-31,2020-02-17,17,79.368875,88.48707274246216,549.0553567464785,11.66,US,Risk-Off,True,2020
GNRC,2020-01-31,2020-02-17,17,103.74538133239747,113.09011213302612,538.3490323033329,9.17,US,Risk-Off,True,2020
PODD,2020-01-31,2020-02-17,17,194.33105327606202,212.00152731323243,543.465411460829,9.26,US,Risk-Off,True,2020
TSLA,2020-01-31,2020-02-17,17,43.43639107704163,53.25533177566528,1172.8909048635542,22.79,US,Risk-Off,True,2020
DDOG,2020-06-30,2020-07-03,3,87.08042194366456,89.4556113433838,144.53504585277057,2.88,US,Risk-Off,True,2020
DXCM,2020-06-30,2020-07-03,3,101.50202347183229,101.6847452735901,9.793115390435824,0.33,US,Risk-Off,True,2020
MRNA,2020-06-30,2020-07-03,3,64.30631408309937,58.48214469528199,-315.21991481258607,-8.92,US,Risk-Off,False,2020
NVDA,2020-06-30,2020-07-03,3,9.479682846069336,9.565228076934815,49.09160123002973,1.05,US,Risk-Off,True,2020
TSLA,2020-06-30,2020-07-03,3,72.09531620788574,80.4564655456543,587.458889703919,11.77,US,Risk-Off,True,2020
DDOG,2020-07-31,2020-08-10,10,94.00079061126709,76.25045036697388,-899.7699909548701,-18.76,US,Stop,False,2020
DXCM,2020-07-31,2020-08-28,28,109.04832963943483,104.58039679718019,-246.0985183234928,-3.95,US,Stop,False,2020
TSLA,2020-07-31,2020-09-02,33,95.5270786895752,148.8996517868042,2882.1412053464924,56.11,US,Stop,True,2020
NVDA,2020-07-31,2020-09-03,34,10.59456047487259,12.955705475807191,1338.6316657322527,22.47,US,Stop,True,2020
MRNA,2020-07-31,2020-09-04,35,74.21114847183227,62.50609847640992,-514.8655031930829,-15.65,US,Stop,False,2020
AMD,2020-08-31,2020-09-07,7,90.95622969436646,81.88698713302612,-479.8820267261258,-9.84,US,Risk-Off,False,2020
DXCM,2020-08-31,2020-09-07,7,106.51202966690064,99.41065756225586,-320.87769251521576,-6.53,US,Risk-Off,False,2020
MRNA,2020-09-30,2020-10-16,16,70.856125,73.82909243774415,233.34567128929905,4.35,US,Stop,True,2020
NVDA,2020-09-30,2020-10-19,19,13.508804978847504,13.435738243579864,-33.343673824316156,-0.39,US,Stop,False,2020
TSLA,2020-09-30,2020-10-19,19,143.21783140563966,143.39458560943604,5.8086388990079385,0.27,US,Stop,True,2020
CVNA,2020-09-30,2020-10-20,20,223.39458755493166,199.68002573394776,-463.1206337041719,-10.48,US,Stop,False,2020
AMD,2020-09-30,2020-10-21,21,82.1129828605652,79.08119695281982,-227.61316580945044,-3.55,US,Stop,False,2020
MRNA,2020-11-30,2020-12-16,16,152.96911550140382,136.82445378112794,-474.65775573545784,-10.42,US,Stop,False,2020
TSLA,2020-11-30,2020-12-22,22,189.48379694366457,213.12650052642823,581.9907908973204,12.65,US,Stop,True,2020
XYZ,2020-11-30,2020-12-23,23,211.276446723938,230.3339726867676,549.4329672930019,9.18,US,Stop,True,2020
TTD,2020-11-30,2020-12-23,23,90.24216276168823,92.26040357208252,110.91280537323615,2.39,US,Stop,True,2020
CARR,2020-11-30,2020-12-29,29,35.47370122909546,34.63924344444275,-147.32558269325366,-2.21,US,Stop,False,2020
CARR,2020-12-31,2021-01-15,15,35.25739672851563,37.630683076858524,425.12288257842073,6.89,US,Stop,True,2020
CRWD,2020-12-31,2021-01-15,15,212.1377373352051,219.18072951507568,176.4361275042651,3.48,US,Stop,True,2020
XYZ,2020-12-31,2021-01-18,18,217.96645938873291,227.408375,253.22387547292303,4.49,US,Risk-Off,True,2020
MRNA,2020-12-31,2021-01-18,18,104.62670622253418,129.45551890563965,855.8869994525066,23.92,US,Risk-Off,True,2020
TSLA,2020-12-31,2021-01-18,18,235.57616262817385,274.9735777282715,1005.6382399011803,16.9,US,Risk-Off,True,2020
XYZ,2021-03-31,2021-04-14,14,227.39057805633547,258.01239390563967,809.1061913834429,13.64,US,Stop,True,2021
TSLA,2021-03-31,2021-04-19,19,222.97729079437258,237.8526917037964,352.30869347534366,6.83,US,Stop,True,2021
CVNA,2021-03-31,2021-04-20,20,262.7935938873291,262.2360598754883,-12.07802456532095,-0.06,US,Stop,False,2021
FCX,2021-03-31,2021-04-20,20,30.78931892299652,33.52158727264405,557.7228867732773,9.04,US,Stop,True,2021
TRGP,2021-03-31,2021-04-20,20,28.884818883895875,29.233665795326235,79.04128773348828,1.36,US,Stop,True,2021
IVZ,2021-04-30,2021-05-11,11,22.10691938304901,22.387046169281007,93.58598631937186,1.42,US,Stop,True,2021
TSLA,2021-04-30,2021-05-12,12,236.83471572113038,196.3350598754883,-909.6386229746188,-16.98,US,Stop,False,2021
FCX,2021-04-30,2021-05-13,13,35.3371556224823,39.21128590583802,698.3479671347403,11.13,US,Stop,True,2021
TPR,2021-04-30,2021-05-20,20,42.32878657150269,38.46245661354065,-674.6018164008053,-9.0,US,Stop,False,2021
MRNA,2021-04-30,2021-06-14,45,179.0882373352051,207.09888865661623,803.5307780515025,15.81,US,Stop,True,2021
DVN,2021-06-30,2021-07-05,5,23.105598003387453,23.067951910972596,-9.47374964615527,-0.01,US,Risk-Off,False,2021
GNRC,2021-06-30,2021-07-05,5,415.7727188873291,414.57721218872075,-19.77679274416556,-0.14,US,Risk-Off,False,2021
MRNA,2021-06-30,2021-07-05,5,235.33246572113038,233.94855304718018,-30.90653930716552,-0.44,US,Risk-Off,False,2021
TPL,2021-06-30,2021-07-05,5,168.0895710525513,166.87998025512695,-48.81073130427751,-0.57,US,Risk-Off,False,2021
TPR,2021-06-30,2021-07-05,5,38.46302270317078,37.62459252548218,-149.92820040115834,-2.03,US,Risk-Off,False,2021
DVN,2021-08-31,2021-09-06,6,23.39056116962433,23.020602540016174,-105.60552745161199,-1.43,US,Risk-Off,False,2021
MRNA,2021-08-31,2021-09-06,6,377.25503744506835,416.07496218872075,394.49738259840814,10.46,US,Risk-Off,True,2021
PLTR,2021-08-31,2021-09-06,6,26.379510152816774,26.600039390563968,57.265928869173486,0.99,US,Risk-Off,True,2021
TPR,2021-08-31,2021-09-06,6,35.66763335418701,36.00287561798096,65.74373892104725,1.09,US,Risk-Off,True,2021
TRGP,2021-08-31,2021-09-06,6,40.166337551116946,41.076343004226686,158.47168998455743,2.42,US,Risk-Off,True,2021
MRNA,2021-09-30,2021-10-11,11,385.43727532958985,304.64235609436037,-903.0529617985052,-20.84,US,Stop,False,2021
OXY,2021-09-30,2021-10-15,15,27.945484746932983,29.820952639579776,439.1476442520192,6.87,US,Stop,True,2021
